text,label,source,collected_at,predicted_label,confidence,needs_review,corrected_label
an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5732,True,positive
"a disoriented but occasionally disarming saga packed with moments out of an alice in wonderland adventure , a stalker thriller , and a condensed season of tv's big brother .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5215,True,positive
"human resources was a good , straightforward tale , but time out is better . it's haunting . it's like a poem .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5784,True,positive
"we get an image of big papa spanning history , rather than suspending it .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6227,True,positive
[majidi] makes us think twice about immigrants we see around us every day .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6652,True,positive
"a moving essay about the specter of death , especially suicide .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6142,True,positive
an intelligent fiction about learning through cultural clash .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6658,True,positive
"the script is high on squaddie banter , low on shocks .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6767,True,negative
plays like a glossy melodrama that occasionally verges on camp .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6847,True,negative
"the funny thing is , i didn't mind all this contrived nonsense a bit .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6641,True,positive
"we root for [clara and paul] , even like them , though perhaps it's an emotion closer to pity .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6715,True,positive
it will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6079,True,positive
"hollywood ending is not show-stoppingly hilarious , but scathingly witty nonetheless .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5263,True,positive
"while the stoically delivered hokum of hart's war is never fun , it's still a worthy addition to the growing canon of post-saving private ryan tributes to the greatest generation .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5753,True,positive
"majidi is an unconventional storyteller , capable of finding beauty in the most depressing places .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6832,True,positive
"the underworld urban angst is derivative of martin scorsese's taxi driver and goodfellas , but this film speaks for itself .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6947,True,positive
we have an actor who is great fun to watch performing in a film that is only mildly diverting .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6969,True,negative
secretary is not a movie about fetishism . it is a movie about passion .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5255,True,positive
handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6558,True,negative
[reno] delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6225,True,positive
"if you've got a house full of tots -- don't worry , this will be on video long before they grow up and you can wait till then .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5239,True,negative
"stay clear of reminding yourself that it's a "" true story "" and you're likely to have one helluva time at the movies .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6505,True,positive
"it's the kind of movie you can't quite recommend because it is all windup and not much of a pitch , yet you can't bring yourself to dislike it .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5476,True,negative
""" roger michell ( "" notting hill "" ) directs a morality thriller . """,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5353,True,negative
"you're not merely watching history , you're engulfed by it .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6077,True,positive
"the movie does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the cotswolds .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5622,True,positive
becomes a fascinating study of isolation and frustration that successfully recreates both the physical setting and emotional tensions of the papin sisters .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5964,True,positive
even those who would like to dismiss the film outright should find much to mull and debate .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5115,True,positive
a wordy wisp of a comedy .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5151,True,negative
"life or something like it has its share of high points , but it misses too many opportunities .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5344,True,negative
one of the most gloriously unsubtle and adrenalized extreme shockers since the evil dead .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.671,True,positive
"an often watchable , though goofy and lurid , blast of a costume drama set in the late 15th century .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6669,True,positive
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5559,True,positive
"if you can stomach the rough content , it's worth checking out for the performances alone .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5988,True,positive
an essentially awkward version of the lightweight female empowerment picture we've been watching for decades,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5278,True,negative
troubling and powerful .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6792,True,positive
"director todd solondz has made a movie about critical reaction to his two previous movies , and about his responsibility to the characters that he creates .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6316,True,positive
"it's all very cute , though not terribly funny if you're more than six years old .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5884,True,negative
"van wilder doesn't bring anything new to the proverbial table , but it does possess a coherence absent in recent crass-a-thons like tomcats , freddy got fingered , and slackers .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5085,True,negative
"this is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker , but ayres makes the right choices at every turn .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5917,True,positive
flaunts its quirky excesses like a new year's eve drunk sporting a paper party hat .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5424,True,negative
a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5472,True,positive
"proof that a thriller can be sleekly shot , expertly cast , paced with crisp professionalism . . . and still be a letdown if its twists and turns hold no more surprise than yesterday's weather report .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6531,True,negative
". . . a solid , well-formed satire .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5947,True,positive
"it may not be "" last tango in paris "" but . . .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5624,True,positive
"here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep . but taken as a stylish and energetic one-shot , the queen of the damned cannot be said to suck .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5312,True,positive
"impostor has a handful of thrilling moments and a couple of good performances , but the movie doesn't quite fly . for starters , the story is just too slim .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5249,True,negative
. . . comes alive only when it switches gears to the sentimental .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5268,True,negative
eight legged freaks ? no big hairy deal .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6965,True,negative
only in its final surprising shots does rabbit-proof fence find the authority it's looking for .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.559,True,negative
"the film is a fierce dance of destruction . its flame-like , roiling black-and-white inspires trembling and gratitude .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6199,True,positive
"all's well that ends well , and rest assured , the consciousness-raising lessons are cloaked in gross-out gags .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5181,True,negative
couldn't someone take rob schneider and have him switch bodies with a funny person ?,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6016,True,negative
"a culture-clash comedy that , in addition to being very funny , captures some of the discomfort and embarrassment of being a bumbling american in europe .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.692,True,positive
"stands as a document of what it felt like to be a new yorker -- or , really , to be a human being -- in the weeks after 9/11 .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5463,True,positive
"confessions isn't always coherent , but it's sharply comic and surprisingly touching , so hold the gong .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6491,True,positive
"like a grinning jack o' lantern , its apparent glee is derived from a lobotomy , having had all its vital essence scooped out and discarded .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5627,True,negative
cool ? this movie is a snow emergency .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6989,True,positive
it's been made with an innocent yet fervid conviction that our hollywood has all but lost .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6402,True,positive
"high drama , disney-style - a wing and a prayer and a hunky has-been pursuing his castle in the sky .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5851,True,negative
"this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5506,True,negative
"like showgirls and glitter , the most entertaining moments here are unintentional .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5024,True,negative
". . . a joke at once flaky and resonant , lightweight and bizarrely original .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5205,True,positive
throw smoochy from the train !,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5172,True,negative
a lifetime movie about men .,negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5302,True,negative
"when in doubt , the film ratchets up the stirring soundtrack , throws in a fish-out-of-water gag and lets the cliched dialogue rip . or else a doggie winks .",negative,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5679,True,negative
tender yet lacerating and darkly funny fable .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.637,True,positive
"on the surface a silly comedy , scotland , pa would be forgettable if it weren't such a clever adaptation of the bard's tragic play .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.5034,True,positive
"lasker's canny , meditative script distances sex and love , as byron and luther . . . realize they can't get no satisfaction without the latter .",positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.6753,True,positive
exhilarating but blatantly biased .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,negative,0.5804,True,positive
see it . debate it . remember it .,positive,hf_rotten_tomatoes,2026-03-26T19:25:45.742930+00:00,positive,0.6796,True,positive
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.539,True,positive
"It is our choices, Harry, that show what we truly are, far more than our abilities.",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.5073,True,positive
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,negative,0.6153,True,positive
A woman is like a tea bag; you never know how strong it is until it's in hot water.,negative,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,negative,0.5332,True,negative
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, ",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.679,True,positive
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.6988,True,positive
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.5811,True,positive
Logic will get you from A to Z; imagination will get you everywhere.,positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.571,True,positive
"To the well-organized mind, death is but the next great adventure.",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.6352,True,positive
I have always imagined that Paradise will be a kind of library.,positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.6893,True,positive
"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",negative,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.5227,True,negative
"Life is like riding a bicycle. To keep your balance, you must keep moving.",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.6364,True,positive
"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,negative,0.5679,True,positive
"If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.6919,True,positive
Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your ,positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.5902,True,positive
I have never let my schooling interfere with my education.,negative,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.6868,True,negative
If I had a flower for every time I thought of you...I could walk through my garden forever.,positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.5631,True,positive
"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",negative,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,negative,0.6402,True,negative
"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.697,True,positive
The reason I talk to myself is because I’m the only one whose answers I accept.,positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,negative,0.5159,True,positive
I am free of all prejudice. I hate everyone equally. ,negative,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.5746,True,negative
Some day you will be old enough to start reading fairy tales again.,positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,negative,0.5513,True,positive
It takes courage to grow up and become who you really are.,positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.5612,True,positive
You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,negative,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,positive,0.5176,True,negative
"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",positive,scrape_https://quotes.toscrape.com,2026-03-26T19:25:50.876239+00:00,negative,0.625,True,positive
