text,label,source,collected_at
"Hi,

It's been a while since I baked this project (late baker), and during this time, my address has changed. I've made several attempts to update the shipping address, but despite confirming my choices, the State information remains outdated.

Could you please guide me on how to successfully update the shipping information to reflect the correct one? 

Thank you in advance.",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hope you're well, I'm from NewBacker.
We work on both Indiegogo Indemand and Kickstarter projects 

We recently raised US50,000+ for the Reviiv Knee+ (Creator Testimonial), as well as US12,592 for the Gale VS, US25,252 for YesWelder and US29,782 for The Peaks. The links are screenshots of their dashboards.

We saw your project and believe it has great potential, so we'd like to invite you to a Dedicated Feature on our newsletter of 400K+ Subscribers. 


Here you can find our top 20 boosted projects - with $10k+ raised each.

The cost is a setup fee and a commission on the amount we raise:
US349 + 35%  |  US599 + 25%  |  US995 + 15%


If we don’t make you the amount you paid, we’ll refund the difference.
 Interested? Email me which plan you'd like.
Karl(at)NewBacker.com

Our Website
Newbacker.com",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hello Juana.,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hey. I came across this yesterday and I would love to buy it. I don't see an option to buy it on here. How would I go about getting my hands on one of these? I recently got into meditation and I love what you guys are offering,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hello Donny Diaz,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello Grim 
are you available to discuss with regarding your crowdfunding",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Does the combo pack come with a PDF of both books?,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Greetings! 👋👋 CREATOR
I hope you're doing well. I'm thrilled to be following your incredible and fantastic campaign! I do have a few inquiries about it. Would it be alright for me to inquire?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello! Your project is impressive, and I guarantee you'll reach your goals. As I'm ready to help. Let's get started – reply now to take the first step toward guaranteed success!",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi, was a survey for addresses sent out yet? If it was a while ago I'll need to change mine since I moved recently",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi there! 
Can we have a detailed conversation about your campaign to attract more people to back your campaign. If you're interested I'm waiting for your response on this?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi there, How is your campaign going!
I just check your campaign and I am interested to support your campaign, kindly let me know if you are open to any help. Thank you.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi Amaroofx good day hope this message find you well how are you and your family, i can see that you need fund to raise your project or services, yes sure , This is what i can help you with This proposal outlines a targeted promotion strategy for Campaign a crowdfunding initiative poised to make a meaningful impact. Our approach centers on creating an authentic connection with the audience, utilizing diverse channels, and optimizing resources for maximum outreach.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Do you need only 1 neoprene game organiser for the game or does each player benefit from having a mat. Many thanks...,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
hello,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
How many plants i can watering?,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"""Hello, how are you doing today? Based on the goals of your campaign, it is crucial to secure a minimum of 100 backers to ensure its success. With our marketing plan, we can assist you in achieving this target. However, we understand that trust is essential, so we are willing to offer our assistance upfront. We propose starting with promotional activities, and once your campaign secures at least 7 committed backers, you can make a payment of $250. At that point, we will expand our outreach to reach even more potential supporters. Do you comprehend our proposal, and would you be interested in collaborating with us to ensure the complete success of your campaign?""",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello Rochelle,

I’m Jeffrey…

I came across your project and I found it very interesting can we discuss about it?

I have some insight that I want to give you about the project so can we discuss.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi, when will be send?",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"In your Add-On menu, you list that an additional Horizon Helvetica is €15, and also includes a Horizon Key - is this correct?",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi, I can get you 10 backers and you will pay after seeing them on your campaign.

My name is Ethan, would you be interested in getting backers?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"My apologies for the oversight. Here's the revised version in English:

Hi Oceanus Team,

I trust this message finds you well amidst the HullGap shipment and Twintide funding excitement!

I was just checking in to confirm if my pledge for 3 Twintides was duly noted, as I overlooked responding to Mich following our email conversation in early November.

Regardless, I'm eagerly anticipating the delivery, knowing you consistently exceed expectations!

Fair winds,

Wesley",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi there, when is the estimate delivery date for the reward?",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Certainly! Have you considered utilizing organic promotion or implementing an email campaign to effectively engage with genuine, actively involved donor backers and investors who can support your campaign?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello! Your campaign has truly caught my attention, and I'm interested in lending a hand to help generate more support. Feel free to message me if you're open to the idea.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Good Afternoon,

I have attempted to change the email settings for my account to receive an email from easyship, however it will not allow me to change it without changing the email address from my AppleID. 

Could you manually update this to (me@oliverdaniells.co.uk), or suggest a way around this issue. 

Thanks in advanced, I'm looking forward to recieving the item.

Oliver",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello,
I am a selected Kickstarter official, and we recently conducted a meeting regarding campaign owners. The meeting was prompted by the high rate of canceled and unsuccessful projects these days, often due to frustration. Based on our analytics and surveys, we discovered that many new creators lack the knowledge to navigate through Kickstarter successfully.
As a response, we've developed a new idea to pair up new creators with successful campaign owners in their respective niches to provide mentorship. We're looking forward to your response on how you would like to join this mentorship program.
Here is the link to check and confirm his campaign.
https://www.kickstarter.com/profile/cmon/created
Here is his Gmail you contact him via daviddoust2@gmail.com
But he is mostly active on his telegram t.me/David_Doust.
Best regards,
Morgan Jane.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Uniwersału 1
uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuiuiiiiiiiuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu7uuuuiuuiiiuuuuuiiii7u7uuuuuuuiiiiiuuuuuuuyhgfffrfrrfrrrrrrrrffftttyyy",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
hello streamskool,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi everybody,

I know I'm late but I would love to donate to this project as I'm a System Shock fan back from the start of the first version and still remember the sensational time I had with this game!

Or is it possible to buy the steel case version and the 100$ pack now via kickstarter, steam or any other channel? Could not find it anywhere..

All the best",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Greetings from William and me. 

My name is Olivia and my partner's name is William, we are duo expert crowd funders focused on seeing projects get funded. I would not want to impress you with too much words but would rather let our results and deliveries speak for us. 

All you need do is go through www.kickstartergoal.com pay for a promotional package based on your budget /desired funding goal and see your project take a new turn.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi Raven,

First of all very happy to see this campaign of yours and love the idea for the swag complimenting your book(s)!! Especially looking forward to the 🐉 earrings 🤞🏼and love the fact that one stretch goal is actually one of your next books maybe coming sooner … :)
One quick question though - will the necklace and earrings be nickel free? 

Loads of success for your campaign and can’t wait to start reading.

Best, 
Thordis",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Totally didn't realize I didn't answer the survey. So much happening these past couple months.,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello!
How are you? I've thoroughly reviewed your Kickstarter campaign, and I must say, I'm really impressed. I'm genuinely interested in assisting you in promoting your campaign and ensuring its success by connecting you with genuine and engaged backers who will generously donate to your campaign",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi,

Hope you're well. I came across your campaign and would love to contribute. Mind if I ask a few questions about it?    ",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello Habitamin,

My name is Becky Passmore, I will effortlessly and expertly showcase my unrivaled skills in promoting Kickstarter campaigns, generating an unprecedented number of pledges through a highly effective and results-driven strategy. With extensive experience in the field, I possess a deep understanding of the intricacies involved in capturing the attention and interest of potential backers. Through meticulous market research, I will identify target audiences with utmost accuracy, maximizing outreach to ensure unparalleled exposure for the campaign. By leveraging various digital marketing channels, including social media platforms and influential blogs, I will create a compelling narrative that resonates with potential backers on an emotional level. My strategic approach entails crafting captivating content that captures not only the uniqueness of the project but also communicates its value proposition effectively. Leveraging my comprehensive network of connections, I am confident in mobilizing industry influencers to endorse and amplify the campaign's message. Rest assured, my unwavering dedication coupled with my pioneering strategies will secure unprecedented success for your Kickstarter campaign through superior promotion techniques.

Furthermore, I will continuously monitor the progress of the Kickstarter campaign, making necessary adjustments and optimizations along the way. By analyzing data and metrics, I will identify areas of improvement and implement targeted strategies to enhance the campaign's performance. Through constant communication and collaboration with the project team, I will ensure that the campaign stays aligned with its goals and objectives. Additionally, I will actively engage with potential backers, responding to their inquiries and addressing any concerns promptly. By fostering a sense of trust and transparency, I will build strong relationships with backers, encouraging them to not only pledge but also spread the word about the campaign. With my unwavering commitment and innovative approach, your Kickstarter campaign will not only meet but exceed its funding goals, leaving a lasting impact on both the project and its supporters.

Best Regards
Becky Passmore",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Good day,
How are you doing?

I went through your campaign and it's really impressive.

Can we have a better discussion on how your campaign can get more backers and reach it fundraising goal?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"There is a downloadable that is stating PENDING with a note stating 'Your order has not been locked down yet'.

How do I have this corrected?",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
I received the People's of the Wilderland and the Character Lifepaths PDF on DTRPG. Any chance I can get the PDFs of the One Ring and the Tales from the Lone-Lands from my add-ons?,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello

My name is Makoto Oshika and I am the owner of a distribution company in Japan.

Is it possible to become a Japanese distributor of your lovely products?

Modular Display Case - 3D Printable
3D printable modular he display cases for miniatures, board games, collectibles and more.

My company sells over US$3 million a year in Japan and has many retail customers.

I also have a lot of crowdfunding experience in Japan.

nice to meet you,
Makoto Oshika
HP: https://mackshofour.wixsite.com/seihou
Email: seiho2021@yk.commufa.jp",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Good day. do you have an other phase for this campaign after reaching the goal of this current campaign?,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Greeting to you, I'm curious about your project and wondering if the creator is currently active. When can we arrange a discussion?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"I've backed your new project, I was backer #435 from NOTA. Work..",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello there! I hope this message finds you well. My name is Sarumyllo, and as a fashion enthusiast, I couldn't help but be impressed by your innovative campaign. It's truly captivating! I would love to gather some feedback and introduce you to a few potential investors who might be interested in supporting your fantastic venture. Let me know if you're interested!",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hello! Is there any way to still get in on a late backer pledge for Old Gods of Appalachia? I tried the late pledge button but seems closed so I suppose that would be my answer but thought I'd still ask. Interested in the collectors edition of the book. Thanks!,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello 

I’m Dylan,
I have gone through your campaign and I’m impressed and found it thoughtful.
I can see that you’re urge to raise $3,300. For your project.
Though it’s not easy to attract backers, as I’ve once been in related situation before when I launched my campaign 
I couldn’t get backers and it was unsuccessful due to lack of attraction.
But I was Fortunate to meet an influencer who shared me some amazing insight and helped me meet up my goal.

I’ll like to recommend the amazing influencer to you, if you don’t mind.

https://t.me/sodyano

Kindly inbox him via telegram on the link ⬆️ 
And get your project done ✅….",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hello I've some questions regarding your campaign?,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hi 👋 I see that getting donation and backers to your campaign is somehow hard for you. But what if I recommend someone for you who can help you.... will you go for it? And I believe he would you if you explain the situation you're going through. You can message him on Telegram @Raph_ealist. I believe nothing will be attached when mention my name.,1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi there, I've had a great time checking out your campaign. It's one of the best I've seen, really catching my attention, I think this project is pretty creative and people would really be interested in your project, let's discuss better about this project.
Let me know when this message gets to you.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Greetings! Your project is extraordinary. I'm confident about it, and am very certain I can help you on it and make sure you achieve your goal. Ready to get started now?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hello. How are you,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello, am willing to collaborate with your campaign, you can let me know when you are available to Share you with the details of how I can be of help for the progress",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello CavernsAndCaveTrolls Team, I would like to talk to you about Kickstarter SEO for your project.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi, I am a promoter agent and I have reviewed your campaign, I have some backers that are interested in backing your campaign. Let me know if you're interested in it. I can promote your campaign to 500 backers that could have interest in your campaign. Would you love to collaborate?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello Loreen, Trust you're doing great
 I just came across your impressive Kickstarter campaign and was instantly drawn to support it. However, I noticed that despite its merits, you haven't attracted any backers yet. Are you still learning about launching successful Kickstarter campaigns or is this your first time on the platform?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello, I'm Nancy by name.

I recently checked your campaign and I can see the fact that you just launched your campaign and you need more real and active backers to back this project in order to make it successful.

I can guide you through the process on how you will get active backers for your campaign.

If you are interested let me know.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello Gwenn I hope this message finds you well. My name is Paul and I am reaching out to you because I believe you might be interested in an exciting crowdfunding opportunity that will help you achive your goals faster, kindly get in touch.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi there! How's your day going? I'm truly impressed by your project, and I believe utilizing the latest crowdfunding promotion methods will really resonate with people. Could we chat further about this approach?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi
Can you directly ship from China yo China?",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello OLHA, 
I observed your project is not getting enough backers, I wanted to donate $300 to your project and I wanted to tell you something that will guarantee your project and this is free advice. Are you interested in hearing this?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi, I'm Jnoah came across your campaign and i can see you are raising some money for your project, how ever i have some ideas and guide for you in order to make your campaign reach more backers, if you don't mind i can share you some of campaign ideas.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello Creator
If you could paint the essence of your campaign with three colors, which colors would they be, and what emotions or ideas would they represent?",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello,
I'm eager to support your campaign and provide insights to attract committed backers. Interested in collaborating for success?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello! I hope you are doing well. I wanted to introduce myself as Elegance, the CEO of Sorleex Concept. Our team consists of highly experienced professionals who specialize in developing and promoting successful campaigns. I recently came across your campaign and found it to be quite intriguing. However, it seems that your campaign has not yet been able to attract a substantial number of real and active backer with genuine and engaged supporters, which is crucial for its overall success. If you are interested, I would be more than happy to offer my support and expertise to help secure the necessary backers for your campaign. Please let me know if you would like to work together on this exciting opportunity!
To provide you with a deeper understanding of our capabilities, I invite you to review our team's impressive portfolios and page at the following link: https://linktr.ee/sorleexconcept
Instagram page; https://instagram.com/sorleex_concept001?igshid=YWYwM2I1ZDdmOQ==
Looking forward to the possibility of working together.....",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Is it possible to get access to these busts at all?,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello

We Just Come Across Your Campaign On Kickstarter, and It Looks Awesome It's a Great Idea.


We are a Team Digital marketer In Crowdfunding Campaign Management.

We Have Strong Marketing Strategies To Move Your Campaign To Top Rated Secret Social Media Of Real And Active Potential BACKERS

You Can Check Our Portfolio Here With Our Promotion Step To Achieve Fast Success In Your Campaign

https://strivesynccrowdfundingcampaignstrateg.blogspot.com/2023/08/strivesycn-crowdfunding-campaign.html

Thanks",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"""Hi dear""hope you are being well""Your dedication for kickstarter project is shines bright, and I am here to accelerate your success. Let's have more conversation together, exceed expectations, and make your campaign goal in short period?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello, how are you doing there?
I'm really curious about this campaign are you delivery worldwide or you are delivery within your country and is there any additional fees delivery",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"I recently stumbled upon it and was immediately drawn to your innovative project. I am deeply impressed by your idea, and I am committed to supporting it by making a contribution of $200.

However, I was surprised to see that your campaign has not received as much backing as it deserves. I am confident that with more exposure, your campaign will attract many more supporters who share your vision and appreciate the value of your project.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Can you confirm if I've done the survey?,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello, 
I came across this your promising and innovative campaign and I see the fact that your campaign needs more real and active backers for it to be a complete success.

I can guide you through the process on how you are going to get more backers.

If you are interested let me know.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hello! I hope that you are keeping well. :),0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"HELLO JEREMY,
i am a big fan of your campaign and i would love to share some idea that can really help your campaign.
Are you open to hearing them out?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello, how are you doing?
Amazing your project it a good one and I'm very impressed with the layout, content and potential for the success to happen very fast, can we have an in-depth conversation on how you can get real and engaged backers?",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi there! 
I'm a crowdfunding promotion specialist with a track record of helping creators reach their funding goals on Kickstarter. I'm interested in learning more about your project and seeing if I can be of assistance.
 Can we chat? Thanks for your time!",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Hello Lino,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi Blue Wave Publishing team! 

I'm Moy Rivera from Draco Studios, first of all, let me congratulate you for your successful campaign! 

We at Draco Studios just launched our 3rd campaign for TTRPG books and we reached our funding goal already, I was wondering if you are interested in some cross-promotion to reach a broader audience, if you are, please contact me with the information that you would like added into one of our updates and we can schedule a date for it.

I'll leave the link for our campaign if you would like to check it out! https://www.kickstarter.com/projects/dracostudios/elyses-guide-to-magic-a-5e-supplement?ref=5uuc8j

Kind regards!",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello how are you doing? 
After a careful review on your project, I’d really love to be one of your back",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi, my name is Adam Steve. I am a promoter agent and I have reviewed your campaign, I have some backers that are interested in backing your campaign. Let me know if you're interested in it.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Dear creator, I came across your campaign and found it to be a fantastic idea, particularly the enticing rewards offered in the pledge. I'm interested in contributing to its success, so please let me know when you're available for a discussion.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Greetings!

We are celebrating the upcoming launch of our new amazing Kickstarter project: upgraded 3D World Maps.

We know that you are also working on exciting projects and would love to share information about them with our readers.

Would you be interested in cross-promo?

Please find more information below: 
https://www.kickstarter.com/projects/2005075996/1459278493?ref=dvydsx&token=06bbe66f 

Stay tuned for the next Kickstarter update coming up on Sunday. 

Let us know if you would like us to share information about your project there.",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Two problems:

I need to update my address:

7115 DeFranzo Loop, Unit B, Fort Meade, MD 20755

Also, I still have not recieced the hard copy of the Tress book.",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"I moved earlier this year. My new address is:

1300 Weathervane Ln
Unit 3B
Akron OH 44313",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hi dear
I'd love to discuss the details and potential opportunities further. If you're open to it, could we schedule a brief chat or exchange emails to explore how my ideas could contribute to your project? My expertise could be a game-changer, and I'm eager to see what magic we can create together.
Looking forward to your response!
Best regards,
Amina",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello, I hope you are doing well today. I'm truly impressed by the potential for success of your campaign and the positive effect it'll be having. I'd be happy to share valuable suggestions for increasing the reach of your campaign. if you're open to it, I'd love to discuss this further, As I am very interested in learning more about your project.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello Justin, what a great campaign you've got and also going through different campaigns, yours really caught my attention. Nevertheless, I noticed that the campaign is needing more backers and what firstly came to my mind was WHY? Kindly reply this message to discuss more on this.

Best regards,
Amanda.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"hello, I just recently learn about the everfrost! I am so sad that I missed the funding period of the kickstarter project. I notice that you still have 74 spots left in the Pledge 679$ US for early bird 35% Anker EverFrost Powered Cooler 30 + Extra 299Wh Battery .
Would I be able to still purchased this deal? Thank you so much!
Palita Khaledy",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"¡Hola, confía en que lo estás haciendo muy bien! Acabo de encontrar su campaña en Kickstarter e inmediatamente me atrajo su contenido único e impresionante. Su campaña tiene todas las cualidades que me hacen",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"I want to cancel my pledge, as this has taken entirely too long.",0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
Does the keyboard have full functionality through a KVM switch?,0,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"The Secret Email System teaches you proven strategies to build an email list and market your project effectively without relying on expensive crowdfunding services. With step-by-step guidance, you'll learn how to create compelling emails that convert leads into backers, resulting in a successful Kickstarter campaign. 

https://warriorplus.com/o2/a/wlv3gv/vkp3h7",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
"Hello there how are you doing and how is your campaign going I came across your campaign an I must say you have done a great work there.

the reason why I message you is that I want to support your campaign so that it will reach out to more active backers that will reach out to your campaign.
If you are interested kindly let me know.",1,hf_thankrandomness/spam-detection-sample,2026-03-26T15:24:36.906265+00:00
